City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Maniago,46.17,12.71,75.99,69,18,0.83,IT,1595186617
Yangi Marg`ilon,40.43,71.72,78.8,36,0,6.93,UZ,1595186617
Waddān,29.16,16.14,85.28,43,0,23.11,LY,1595186617
Ribeira Grande,38.52,-28.7,73.4,64,40,9.17,PT,1595186617
Tasiilaq,65.61,-37.64,53.6,58,0,9.17,GL,1595186617
Okha,53.57,142.95,53.11,94,100,6.85,RU,1595186617
Acapulco de Juárez,16.86,-99.89,89.6,75,40,4.7,MX,1595186617
San Quintín,30.48,-115.95,78.58,54,0,18.14,MX,1595186410
Ushuaia,-54.8,-68.3,33.8,86,75,0.45,AR,1595186617
Bilma,18.69,12.92,97.12,15,0,7.02,NE,1595186420
Hamilton,39.18,-84.53,95.0,52,40,11.41,US,1595186617
Lagoa,39.05,-27.98,69.44,75,13,7.74,PT,1595186617
Grindavik,63.84,-22.43,51.8,62,75,10.29,IS,1595186412
Saldanha,-33.01,17.94,55.4,82,0,5.82,ZA,1595186618
Yellowknife,62.46,-114.35,66.99,77,75,11.41,CA,1595186351
East London,-33.02,27.91,63.66,77,0,15.75,ZA,1595186618
Bredasdorp,-34.53,20.04,51.8,93,0,1.12,ZA,1595186618
Hermanus,-34.42,19.23,50.0,93,0,8.43,ZA,1595186395
Vila Velha,-20.33,-40.29,75.0,83,75,3.36,BR,1595186618
Lebu,-37.62,-73.65,54.41,83,0,13.42,CL,1595186618
Barentu,15.11,37.59,72.61,81,100,14.79,ER,1595186618
Kapaa,22.08,-159.32,80.6,88,75,17.22,US,1595186618
Torbay,47.67,-52.73,77.0,43,20,11.41,CA,1595186618
Vao,-22.67,167.48,69.17,73,1,14.0,NC,1595186618
Castro,-24.79,-50.01,70.88,60,9,5.44,BR,1595186619
Rikitea,-23.12,-134.97,68.49,73,1,15.79,PF,1595186399
Tevaitoa,-16.78,-151.5,77.29,82,97,21.83,PF,1595186619
Horta,38.53,-28.63,73.4,64,40,9.17,PT,1595186490
Ponte Nova,-20.42,-42.91,73.27,55,35,5.66,BR,1595186619
Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595186402
Inuvik,68.35,-133.72,48.2,70,90,3.04,CA,1595186619
Busselton,-33.65,115.33,42.01,75,51,8.23,AU,1595186619
Mar del Plata,-38.0,-57.56,55.4,93,90,10.29,AR,1595186475
Punta Arenas,-53.15,-70.92,35.6,74,75,10.29,CL,1595186619
Arraial do Cabo,-22.97,-42.03,78.8,78,0,14.99,BR,1595186619
At-Bashi,41.17,75.81,56.37,57,19,2.19,KG,1595186620
Bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595186620
Barrow,71.29,-156.79,33.8,86,90,9.17,US,1595186483
Kathua,32.37,75.52,88.0,47,0,3.06,IN,1595186620
Port Alfred,-33.59,26.89,62.19,82,0,15.82,ZA,1595186620
Kawalu,-7.38,108.21,71.94,92,95,1.86,ID,1595186620
Sinnamary,5.38,-52.95,83.75,71,61,9.51,GF,1595186620
Albany,42.6,-73.97,97.0,34,3,8.97,US,1595186620
Hambantota,6.12,81.12,78.8,100,5,2.24,LK,1595186417
Muscle Shoals,34.74,-87.67,95.0,44,1,6.93,US,1595186620
Launceston,-41.45,147.17,39.99,93,31,6.93,AU,1595186620
Palembang,-2.92,104.75,74.5,96,79,2.46,ID,1595186621
Stolin,51.89,26.85,64.22,71,54,3.4,BY,1595186621
Port Lincoln,-34.73,135.87,51.6,74,96,9.1,AU,1595186621
Alyangula,-13.85,136.42,62.6,100,90,8.66,AU,1595186621
Upernavik,72.79,-56.15,49.21,55,81,4.47,GL,1595186621
Hilo,19.73,-155.09,82.4,65,1,5.82,US,1595186492
Ostrovnoy,68.05,39.51,67.57,70,0,13.87,RU,1595186459
Butaritari,3.07,172.79,83.21,76,29,15.52,KI,1595186621
Sungai Penuh,-2.08,101.38,65.95,94,97,3.04,ID,1595186621
Chokurdakh,70.63,147.92,62.91,57,100,13.71,RU,1595186621
Cabedelo,-6.98,-34.83,80.6,78,20,13.87,BR,1595186621
Nikolskoye,59.7,30.79,68.0,64,0,4.47,RU,1595186393
Nome,64.5,-165.41,52.0,76,90,6.93,US,1595186621
Hobart,-42.88,147.33,48.2,83,40,16.11,AU,1595186621
Faya,18.39,42.45,77.0,50,100,9.17,SA,1595186622
Wajid,3.81,43.25,75.63,67,100,20.83,SO,1595186622
New Norfolk,-42.78,147.06,43.0,86,4,1.99,AU,1595186622
Sondershausen,51.37,10.87,75.0,55,100,3.62,DE,1595186622
Port Elizabeth,-33.92,25.57,59.0,93,0,5.82,ZA,1595186622
Bathsheba,13.22,-59.52,87.8,58,20,14.99,BB,1595186622
Faanui,-16.48,-151.75,77.07,83,58,22.26,PF,1595186622
Longyearbyen,78.22,15.64,46.4,81,75,13.87,SJ,1595186622
Baruun-Urt,46.68,113.28,51.93,71,71,8.23,MN,1595186622
Sal Rei,16.18,-22.92,82.4,65,40,11.41,CV,1595186623
Okahandja,-21.98,16.92,57.2,17,0,5.82,NA,1595186623
Seoul,37.57,126.98,78.8,94,90,16.11,KR,1595186524
Susanville,40.42,-120.65,91.0,17,1,5.82,US,1595186472
Palmares do Sul,-30.26,-50.51,78.53,64,62,4.47,BR,1595186623
